Product title,Product type,Net items sold,Gross sales,Discounts,Returns,Net sales,Taxes,Total sales
Re-ment Pikmin Terrarium Collection Vol.2 (1 piece),Figure,1,16.99,0.0,0.0,16.99,1.31,18.3
Ghibli - Collection Plush Keychain - Ghibli Full of Wonders - My Neighbor Totoro (6 pieces),Accessories,1,19.99,-3.0,0.0,16.99,1.31,18.3
Chainsaw Man - Rubber Mascot Keychain Buddy Collection (1 piece),Accessories,2,19.98,-3.0,0.0,16.98,1.3,18.28
Rubber Keychain($4.99),Accessories,4,19.96,-2.99,0.0,16.97,1.31,18.28
Pokemon Card - Expansion Pack - Wild Force (1 pack),Cards,5,31.92,-4.18,-10.77,16.97,1.3,18.27
Pokemon Card - Night Wanderer Expansion Pack (Trading Card Game)(1 pack),Cards,5,31.92,-4.19,-10.77,16.96,1.3,18.26
Pokemon Card - Expansion Pack - Violet ex (1 pack),Cards,5,31.92,-4.19,-10.77,16.96,1.3,18.26
Evangelion - Mini Figure Dreaming(1 piece),Figure,1,18.99,-2.84,0.0,16.15,1.25,17.4
Pokémon - Swing Vignette Collection 3 (1 piece),Figure,1,18.99,-2.84,0.0,16.15,1.25,17.4
Ghibli - Kiki’s Delivery Service Palm-Sized Jiji,Plushes & Cusions,1,18.99,-2.84,0.0,16.15,1.25,17.4
Pokémon - Little Night Collection Blind Box (1 piece),Figure,1,18.99,-2.84,0.0,16.15,1.25,17.4
Yuki Miku - Pote Koro Mascot (1 piece),Figure,1,18.99,-2.85,0.0,16.14,1.25,17.39
Sleepy Still Sleepy (1 piece),Figure,2,17.98,-2.68,0.0,15.3,1.2,16.5
Sanrio - Festival Mini Figure (1 set),Figure,1,17.99,-2.69,0.0,15.3,1.19,16.49
Pokemon -A Little Tale of the Forest Figure Collection 6pcs Complete (1 piece),Figure,1,17.99,-2.7,0.0,15.29,1.19,16.48
Gundam - 1/1 Gunpla-kun DX Set GUMPLA Plastic Model,Plastic Model,2,17.98,-2.69,0.0,15.29,1.19,16.48
Goddess of Victory: NIKKE - Metallic Pass Collection vol.2 (Trading Card Game)(1 pack),Cards,2,17.98,-2.7,0.0,15.28,1.2,16.48
Colorful Stage - Weiß Schwarz: Vol.2 Trading Card Game (1 pack),Cards,2,17.98,-2.7,0.0,15.28,1.2,16.48
ONE PIECE - CARD GAME - The New Emperors (1 pack),Cards,6,17.94,-2.69,0.0,15.25,1.19,16.44
Junji Ito - Uzumaki Pocket Curse Blind Box Figure (1 piece),Figure,1,16.99,-2.54,0.0,14.45,1.12,15.57
Pikmin - Terrarium Collection (1 piece),Figure,1,16.99,-2.54,0.0,14.45,1.12,15.57
Inuyasya - Q Posket together Shippo B,Figure,1,24.99,-10.79,0.0,14.2,1.1,15.3
MARVEL - Weiß Schwarz Trading Card Pack (1 pack),Cards,2,15.98,-2.4,0.0,13.58,1.06,14.64
Colorful Stage - Weiß Schwarz: Vol.1 Trading Card Game(1 pack),Cards,2,15.98,-2.4,0.0,13.58,1.06,14.64
ONE PIECE - CARD GAME - Royal Bloodline (1 pack),Cards,4,15.96,-2.38,0.0,13.58,1.05,14.63
Kaguya-sama: Love is War? -In Wonderland - Exclusive 4-Piece Newly Designed Clear Stand Set | Taito Kuji Honpo F Prize (1 set),Accessories,4,15.96,-2.39,0.0,13.57,1.05,14.62
Pokemon Card - Expansion Pack - Crimson Haze (1 pack),Cards,4,27.93,-3.59,-10.78,13.56,1.04,14.6
BOCCHI THE ROCK! - HELLO! GOOD SMILE - Hitori Gotoh Action Figure,Figure,1,14.99,-2.24,0.0,12.75,0.99,13.74
HUNTERxHUNTER - Re-Ment Pittori Collection 1,Figure,1,14.99,-2.24,0.0,12.75,0.99,13.74
Hunter x Hunter - DesQ Desktop Hunter Vol.4 Blind Box Set (1 piece),Figure,1,14.99,-2.25,0.0,12.74,0.98,13.72
Blue Lock - Zodiac Trading Can Badges (1 piece-12 Types),Accessories,3,14.97,-2.25,0.0,12.72,0.98,13.7
Oshi No Ko - Rabber Keychain (1 piece),Accessories,3,14.97,-2.25,0.0,12.72,0.98,13.7
Chainsaw Man - Mask Collection Random Capsules (1 piece),Figure,2,13.98,-2.08,0.0,11.9,0.92,12.82
My Hero Academia - Removable Sticker Sanrio B,Accessories,2,13.98,-2.09,0.0,11.89,0.92,12.81
Misc Acrylic Keychain($6.99),Accessories,2,13.98,-2.09,0.0,11.89,0.92,12.81
Pokémon - Terrarium Collection - Relaxing Moments (1 piece),Figure,1,12.99,-1.94,0.0,11.05,0.86,11.91
Kirby - Kirby Friends Mini Figure Set (1 piece),Figure,1,12.99,-1.94,0.0,11.05,0.86,11.91
Ghibli - My Neighbor Totoro Small Totoro - Ghibli Collection Keychain,Accessories,3,11.97,-1.39,0.0,10.58,0.82,11.4
Dandadan - Sticker - Aira Shiratori,Accessories,2,11.98,-1.8,0.0,10.18,0.79,10.97
Attack on Titan - Mini Nendoroid Plush,Plushes& Cusions,1,10.99,-1.64,0.0,9.35,0.72,10.07
Kaguya-sama: Love is War - Rubber Keychain/ Acrylic Stand,Accessories,3,10.97,-1.65,0.0,9.32,0.72,10.04
Ghibli - My Neighbor Totoro Medium Totoro - Ghibli Collection Keychain,Accessories,2,9.98,-1.25,0.0,8.73,0.66,9.39
Elden Ring - Pin Badge Collection Talisman Vol.1 (1 piece),Accessories,1,9.99,-1.49,0.0,8.5,0.66,9.16
Cowboy Bebop - Spike Spiegel Chibi Masters Figure by Bandai,Figure,1,9.99,-1.49,0.0,8.5,0.66,9.16
Dragon Ball Super - Chibi Masters Frieza 4th Form,Figure,1,9.99,-1.49,0.0,8.5,0.66,9.16
Dragon Ball Super- Chibi Masters Super Saiyan Broly,Figure,1,9.99,-1.49,0.0,8.5,0.66,9.16
Ghibli - Kiki’s Delivery Service - Milk Cap Badge Collection,Accessories,2,9.98,-1.49,0.0,8.49,0.65,9.14
Dandadan - “DefoRubber!” design series with Takara Tomy Arts’ exclusive,Accessories,2,9.98,-1.49,0.0,8.49,0.65,9.14
Goddess of Victory: NIKKE - Wafer Series 2 (Trading Card Game) (1 pack),cards,2,9.98,-1.49,0.0,8.49,0.0,8.49
My Hero Academia - Papemasu!! -5th Season Costume- (1 piece),Figure,1,8.99,-1.34,0.0,7.65,0.6,8.25
Ghibli - My Neighbor Totoro Flocking Keychain - Catbus,Accessories,1,8.99,-1.35,0.0,7.64,0.6,8.24
The Apothecary Diaries - Clear Card Collection Gum 2 (1 set),Snack,3,8.97,-1.33,0.0,7.64,0.6,8.24
Jujutsu Kaisen - Trading Mini Acrylic Stands Present Ver. (1 piece),Accessories,1,7.99,-1.19,0.0,6.8,0.53,7.33
SPY×FAMILY - Trading Rubber Straps Chibikko Series (1 piece),Accessories,1,7.99,-1.2,0.0,6.79,0.53,7.32
Ghibli - My Neighbor Totoro Strap - Medium Totoro,Accessories,1,7.99,-1.2,0.0,6.79,0.53,7.32
Rubber keychain($3.99),Accessories,2,7.98,-1.19,0.0,6.79,0.53,7.32
Hololive - Rubber Mascot Gummy (1 pack),Snack,1,7.99,-1.2,0.0,6.79,0.53,7.32
stickers($1.99),Accessories,4,7.96,-1.18,0.0,6.78,0.52,7.3
Chainsaw Man - All-Star Enamel Badge - Limited Edition Pre-Order | Weekly Shonen Jump (1 piece),Accessories,1,6.99,-1.04,0.0,5.95,0.46,6.41
Ghibli - My Neighbor Totoro Soot Sprite Brooch - Ghibli Collection,Accessories,1,6.99,-1.05,0.0,5.94,0.46,6.4
Dandadan - Sticker - Okarun,Accessories,1,5.99,-0.9,0.0,5.09,0.4,5.49
Dandadan - Sticker - Momo Ayase,Accessories,1,5.99,-0.9,0.0,5.09,0.4,5.49
Gundam - MOBILITY JOINT GUNDAM VOL.8 (1 piece),Figure,1,4.99,-0.74,0.0,4.25,0.33,4.58
The Quintessential Quintuplets Die-Cut Acrylic Keychain Miku,Accessories,1,4.99,-0.74,0.0,4.25,0.33,4.58
Sakura Miku - Original Sakura Party Ver. Art by Shugao Trading Can Badges (12 Types),Accessories,2,3.98,-0.4,0.0,3.58,0.28,3.86
Dandadan - Vivid Line Acrylic Keychain [Aira],Accessories,1,3.99,-0.6,0.0,3.39,0.26,3.65
Chiikawa - Acrylic Mini Stand 2 (1 piece),Acrylic Stand,2,3.98,-0.6,0.0,3.38,0.26,3.64
Super Mario - Character Magnets 2 (1 piece),Accessories,1,2.99,-0.44,0.0,2.55,0.2,2.75
Rubber Keychain($2.99),Accessories,1,2.99,-0.44,0.0,2.55,0.2,2.75
Haikyu!! - Kirie Series Gold Foil Washi Can Badges (1 piece),Accessories,1,2.99,-0.44,0.0,2.55,0.2,2.75
Jujutsu Kaisen - Original Music Ver. Can Badge Collection (1 piece),Accessories,1,2.99,-0.45,0.0,2.54,0.2,2.74
Project Sekai Colorful Stage! feat. Hatsune Miku - Weiss Schwarz Collection Pack (1 pack),Cards,1,2.99,-0.45,0.0,2.54,0.2,2.74
Jujutsu Kaisen - Acrylic Stand (Sega Lucky Kuji I prize) (1 piece),Accessories,1,2.99,-0.45,0.0,2.54,0.2,2.74
Jujutsu Kaisen - Trading Chibikoro Matte Can Badges (8 Types),Accessories,1,1.99,-0.3,0.0,1.69,0.13,1.82
